project	key	title	abstract	doi	decision	mode	exclusion_criteria	reviewer_count	is_shot
MPM4CPS	Fritzson2015	References	No Abstract.	http://dx.doi.org/10.1002/9781118989166.refs	Excluded	new_screen	Informal literature and secondary/tertiary studies,Informal literature and secondary/tertiary studies	2	False
MPM4CPS	Ganzha2017	From implicit semantics towards ontologies \#x2014; practical considerations from the INTER-IoT perspective	From the general SOA architectural pattern, through distributed computing based on Grids and Clouds, to the Internet of Things, the idea of collaboration between software entities, independent from their vendors and technologies, attracts much attention. This brings about a question: how to achieve interoperability among multiple (existing and upcoming) platforms/systems/applications. The context for the presented research is provided by the INTER-IoT project, which deals with different aspects of interoperability in the Internet of Things (IoT). It aims at the design and implementation of an open framework and associated methodology to provide interoperability among heterogeneous IoT platforms, across a software stack (devices, network, middleware, application services, data and semantics). We focus on the data and semantics layer. Specifically, the role of ontologies and semantic data processing, as means of achieving interoperability. However, since the vision of the Semantic Web remains mostly unfulfilled, semantics remains implicitly ``hidden'' data and in exchanged messages. Therefore, we are particularly interested in establishing what methods and tools exist to create OWL ontologies from implicitly expressed semantics. We focus on popular data formats i.e. XML, JSON, RDF, Relational Databases and NoSQL Databases.	http://dx.doi.org/10.1109/CCNC.2017.7983082	Included	new_screen		2	True
MPM4CPS	Grundy2013	Generating Domain-Specific Visual Language Tools from Abstract Visual Specifications	Domain-specific visual languages support high-level modeling for a wide range of application domains. However, building tools to support such languages is very challenging. We describe a set of key conceptual requirements for such tools and our approach to addressing these requirements, a set of visual language-based metatools. These support definition of metamodels, visual notations, views, modeling behaviors, design critics, and model transformations and provide a platform to realize target visual modeling tools. Extensions support collaborative work, human-centric tool interaction, and multiplatform deployment. We illustrate application of the metatoolset on tools developed with our approach. We describe tool developer and cognitive evaluations of our platform and our exemplar tools, and summarize key future research directions.	http://dx.doi.org/10.1109/TSE.2012.33	Excluded	new_screen	Papers that did not apply to research questions,Papers that did not apply to research questions	2	True
MPM4CPS	Herrera2015	Enhancing analysability and time predictability in UML/MARTE component-based application models	This paper presents how to integrate formally based models relying on the Synchronous Dataflow Model-of- Computation (MoC) in a UML/MARTE component-based application model. This model corresponds to a flexible and expressive modelling methodology, which facilitates finding and building an application model with the intended semantics, but does not help to ensure a strict fulfilment of functional and extrafunctional requirements. However, this capability has become a need in the context of modelling mixed-criticality applications. This paper shows how the component-based UML/MARTE models captured in such a flexible methodology can integrate parts transformable into synchronous data-flows. This formalism facilitates the analysis of the functional and extra-functional properties of such parts. Specifically, the paper shows a set of modelling patterns which can be translated into SDF counterparts. Relying on these patterns, a framework has been implemented which enables a bi-directional interoperability between the UML/MARTE models abiding the patterns and the formally-based ForSyDe methodology.	https://ieeexplore.ieee.org/abstract/document/7306365/	Included	new_screen		2	False
MPM4CPS	Herzig2017	Model-transformation-based computational design synthesis for mission architecture optimization	In this paper, a model-based approach to exploring the trade space of multi-spacecraft mission architectures is introduced. Missions involving multiple spacecraft are inherently more complex to design than traditional single spacecraft missions. This is particularly true for fractionated mission concepts, where spacecraft have diverse roles and distributed responsibilities, and fulfilling mission goals requires communication and collaboration. In practice, this complexity and the lack of computational models and tools limit design teams to consider small design spaces and force them to quickly fixate on a single mission design. However, design fixation at such early stages often leads to sub-optimal designs. Towards overcoming this limitation, we propose an automated approach to exploring and visualizing the trade space of multi-spacecraft mission architectures that aids users in decision making, and provides a basis for identifying solutions that are Pareto-optimal with respect to user-defined science requirements, technical and resource constraints, and mission objectives. Central to our approach is the automated synthesis and analysis of mission architecture alternatives from a set of user-provided functional requirements and mission goals, as well as a library of spacecraft components and analysis models. Design rules (synthesis knowledge) are provided in the form of model-transformation rules. Sequences of endogenous model transformations are applied in-place to produce sets of candidate solutions, thereby effectively searching the design space. The search process is guided by the specified objectives, and is implemented using evolutionary algorithms. We demonstrate our approach to architectural optimization using a simplified radio interferometry mission design as a case study. We conclude that using the proposed approach, the number and diversity of candidate mission architectures available for consideration can be significantly increased. Furthermore, the a- tomated synthesis and evaluation of mission architectures can lead to emergent and non-intuitive solutions to be discovered.	http://dx.doi.org/10.1109/AERO.2017.7943953	Included	conflict_resolution		2	False
MPM4CPS	Jarus2016	Models, metamodels, and model transformation for cyber-physical systems	One approach to increasing the sustainability of critical systems is to fortify them with cyber infrastructure that monitors the system, enables early diagnosis of faults, and provides decision support that facilitates greater efficacy. Modeling and analysis of the resulting cyber-physical systems is a significant challenge, as the physical and cyber infrastructures can be very different in time scales, complexity, and architecture. Model composition is a potential solution. Metamodeling seeks to facilitate model composition by providing methods for composing models of different types, including performance and dependability models, as well as methods for transforming one type of model to another. This paper describes the application of metamodeling to cyber-physical systems. Our proposed approach to model transformation is based on abstract interpretation, a program analysis technique. Models exist for disparate attributes of cyber-physical systems, but these models are typically domain-specific. We seek to map models from one physical domain to another, or to extract a model of one system attribute from a model of another attribute. This ability would considerably increase the utility of the existing body of knowledge on modeling of cyber-physicals systems.	http://dx.doi.org/10.1109/IGCC.2016.7892611	Included	new_screen		2	False
MPM4CPS	Khaitan2015	Design Techniques and Applications of Cyberphysical Systems: A Survey	Cyberphysical systems (CPSs) are new class of engineered systems that offer close interaction between cyber and physical components. The field of CPS has been identified as a key area of research, and CPSs are expected to play a major role in the design and development of future systems. In this paper, we survey recent advancements made in the development and applications of CPSs. We classify the existing research work based on their characteristics and identify the future challenges. We also discuss the examples of prototypes of CPSs. The aim of this survey is to enable researchers and system designers to get insights into the working and applications of CPSs and motivate them to propose novel solutions for making wide-scale adoption of CPS a tangible reality.	http://dx.doi.org/10.1109/JSYST.2014.2322503	Excluded	new_screen	Informal literature and secondary/tertiary studies,Secondary study	2	True
MPM4CPS	Koster2018	A Model Driven Approach for Eased Knowledge Storage and Retrieval in Interactive HRI Systems	Efficient storage and querying of long-term human-robot interaction data requires application developers to have an in-depth understanding of the involved domains. It is an error prone task that can immensely impact the interaction experience of humans with robots and artificial agents. In the development cycle of HRI applications, queries towards storage solutions are often created once, copied into according components, and are rarely revisited. Beyond possible syntactical errors (especially impacting query design time), any change in the underlying storage solution structure results in semantic errors at run time which are not easy to spot in existing applications. To address this issue, we present a model-driven software development approach to create a long-term storage system to be used in highly interactive HRI scenarios. We created multiple domain specific languages that allow us to model the domain and seamlessly embed its concepts into a query language. Along with corresponding model-to-model and model-to-text transformations we generate a fully integrated workbench facilitating data storage and retrieval. It supports developers in the query design process and allows in-tool query execution without the need to have prior in-depth knowledge of the domain. We evaluated our work in an extensive user study and can show that the generated tool yields multiple advantages compared to the usual query design approach.	http://dx.doi.org/10.1109/IRC.2018.00025	Excluded	conflict_resolution	Outside of the SLR date range,Outside of the SLR date range	2	False
MPM4CPS	Lee2011	Heterogeneous actor modeling	Complex systems demand diversity in the modeling mechanisms. This ``roadmap'' paper prescribes an approach to modeling based on concurrent communicating components (called actors), where a diversity of orchestration strategies govern the execution and interaction of the components. The prescribed approach has been extensively explored in the Ptolemy Project, but as yet is not widely deployed in engineering practice. The approach achieves interaction between diverse models using an abstract semantics, which is a deliberately incomplete semantics that cannot by itself define a useful modeling framework. It instead focuses on the interactions between diverse models, reducing the nature of those interactions to a minimum that achieves a well-defined composition. The actor semantics is an abstract semantics that can handle many heterogeneous models that are built today, and some that are not common today. The actor abstract semantics and many concrete semantics are implemented in Ptolemy II, an open-source software framework.	http://dx.doi.org/10.1145/2038642.2038646	Included	new_screen		2	False
MPM4CPS	Lee2011a	Component-based design for the future	The specific root causes of the design problems that are haunting system companies such as automotive and avionics companies are complex and relate to a number of issues ranging from design processes and relationships with different departments of the same company and with suppliers to incomplete requirement specification and testing. The issue is the need of a substantive evolution of the design methodology in use today in system companies. The issue to address is the understanding of the principles of system design, the necessary change to design methodologies, and the dynamics of the supply chain. Developing this understanding is necessary to define a sound approach to the needs of the system companies as they try to serve their customers better, to develop their products faster and with higher quality. An important approach to tackle these issues is component-based design.	http://dx.doi.org/10.1109/DATE.2011.5763168	Included	conflict_resolution		2	True
